Link Produs,Pret (lei)
https://www.emag.ro/laptop-ultraportabil-asus-vivobook-s14-s430fn-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-6ghz-14-full-hd-8gb-512gb-ssd-m-2-nvidia-geforce-mx150-2gb-free-dos-green-metal-s430fn-eb323/pd/D378F5BBM/,3999
https://www.emag.ro/laptop-lenovo-ideapad-330-15arr-cu-procesor-amd-ryzentm-3-2200u-pana-la-3-40-ghz-15-6-4gb-1tb-dvd-rw-radeontm-vega-3-graphics-free-dos-platinum-grey-81d2008jrm/pd/D8NL44BBM/,1449
https://www.emag.ro/laptop-gaming-omen-by-hp-17-an107nq-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-17-3-full-hd-ips-120hz-12gb-1tb-128gb-ssd-nvidia-geforce-gtx-1070-8gb-microsoft-windows-10-home-shad/pd/DDWQZCBBM/,5999
https://www.emag.ro/laptop-ultraportabil-asus-vivobook-14-x412fa-cu-procesor-intelr-coretm-i3-8145u-pana-la-3-90-ghz-whiskey-lake-14-full-hd-4gb-1tb-intel-uhd-graphics-620-endless-os-silver-x412fa-eb301/pd/DJM2HRBBM/,2099
https://www.emag.ro/laptop-gaming-lenovo-legion-y530-15ich-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-ips-8gb-512gb-ssd-nvidia-geforce-gtx-1060-6gb-free-dos-black-81lb009trm/pd/DXTB71BBM/,4899
https://www.emag.ro/laptop-gaming-acer-predator-ph317-52-72yw-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-17-3-full-hd-ips-144hz-8gb-1tb-256gb-ssd-nvidia-geforce-gtx-1060-6gb-linux-black-nh-q3dex-038/pd/DBYJYLBBM/,5199
https://www.emag.ro/laptop-apple-macbook-pro-15-2019-ecran-retina-touch-bar-procesor-intelr-8-coretm-9th-gen-i9-2-4ghz-32gb-ram-1tb-ssd-radeon-pro-vega-20-4gb-macos-us-kb-space-gray-mv952ll-a/pd/DV6PF5BBM/,21950
https://www.emag.ro/laptop-gaming-lenovo-legion-y530-15ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1050-2gb-free-dos-black-81fv015arm/pd/D2422ZBBM/,2999
https://www.emag.ro/laptop-msi-gt75-titan-8sg-cu-procesor-intel-core-i9-8950hk-pana-la-4-8-ghz-17-3-full-hd-64gb-hdd-1tb-ssd-2x-512gb-m-2-nvidia-geforce-rtx-2080-8gb-windows-10-pro-black-9s7-17a611-216/pd/D3RHX5BBM/,24399
https://www.emag.ro/laptop-lenovo-v130-15ikb-cu-procesor-intelr-celeron-3867u-1-80-ghz-dual-core-15-6-hd-4gb-500gb-hdd-intel-hd-graphics-610-free-dos-iron-grey-81hn00unri/pd/DW8705BBM/,899
https://www.emag.ro/laptop-gaming-asus-tuf-fx504gm-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-15-6-full-hd-120hz-8gb-1tb-sshd-nvidia-geforce-gtx-1060-6gb-free-dos-gun-metal-fx504gm-en048/pd/DJ6NS4BBM/,4199
https://www.emag.ro/laptop-lenovo-ideapad-330-17ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-17-3-full-hd-ips-8gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos-onyx-black-81fl004frm/pd/DC0V0VBBM/,3499
https://www.emag.ro/laptop-gaming-asus-rog-gx531gxr-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-5-ghz-15-6-full-hd-240-hz-24gb-1tb-ssd-m-2-nvidiar-geforce-rtxtm-2080-max-q-design-8gb-windows-10-pro-black-gx531gxr-az063r/pd/D1TFC5BBM/,13499
https://www.emag.ro/laptop-ultraportabil-asus-vivobook-s13-s330fa-cu-procesor-intelr-coretm-i5-8265u-pana-la-3-90-ghz-whiskey-lake-13-3-full-hd-8gb-256gb-ssd-intel-uhd-graphics-620-free-dos-silver-metal-s330fa-ey095/pd/DTMGFQBBM/,3099
https://www.emag.ro/laptop-gaming-asus-rog-strix-gl503ge-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-15-6-full-hd-8gb-256gb-ssd-m-2-1tb-hdd-geforce-gtx-1050ti-4gb-free-dos-gunmetal-gl503ge-en117/pd/DVCGX4BBM/,4199
https://www.emag.ro/laptop-gaming-omen-by-hp-15-dc0008nq-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-ips-8gb-256gb-ssd-nvidiar-geforcer-gtx-1050-ti-4gb-free-dos-shadow-black-4mt55ea/pd/D53Q5SBBM/,3749
https://www.emag.ro/laptop-ultraportabil-lenovo-ideapad-s540-14api-cu-procesor-amd-ryzen-5-3500u-pana-la-3-7-ghz-14-full-hd-8gb-512gb-ssd-m-2-amd-radeon-vega-8-windows-10-home-copper-81nh0045rm/pd/DD25C5BBM/,2999
